Nonterminal,ID,LPAREN,RPAREN,LLLAVE,RETURN,RLLAVE,COMA,void,FIN,ASIGNACION,MAIN,NUMBER,MENOR,MAYOR,MENORIGUAL,MAYORIGUAL,IGUAL,DIFERENTE,PLUS,MINUS,TIMES,DIVIDE,OP,CALL,IF,WHILE,FOR,PLUSPLUS,MINUSMINUS,T_BOOLEAN,T_INTEGER,T_CHARACTER,T_STRING,T_FLOAT,CARACTER,FLOAT,STRING,TRUE,FALSE,COMMENT,newline,$
Statement1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Type ID ASIGNACION ReturnValue,Type ID ASIGNACION ReturnValue,Type ID ASIGNACION ReturnValue,Type ID ASIGNACION ReturnValue,Type ID ASIGNACION ReturnValue,no,no,no,no,no,no,no,no
Statement2,ID ASIGNACION ReturnValue,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MainClass,no,no,no,no,no,no,no,no,no,no,MAIN LPAREN RPAREN LLLAVE Coment Newline BodyMas MainRet RLLAVE Coment,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MainRet,no,no,no,no,RETURN NUMBER FIN Coment Newline,e,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
CompSign,no,no,no,no,no,no,no,no,no,no,no,no,MENOR,MAYOR,MENORIGUAL,MAYORIGUAL,IGUAL,DIFERENTE,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Comparasion,ReturnValue CompSign ReturnValue,no,no,no,no,no,no,no,no,no,no,ReturnValue CompSign ReturnValue,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,ReturnValue CompSign ReturnValue,ReturnValue CompSign ReturnValue,ReturnValue CompSign ReturnValue,ReturnValue CompSign ReturnValue,ReturnValue CompSign ReturnValue,no,no,no
ReturnValue,ID,no,no,no,no,no,no,no,no,no,no,Value,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Value,Value,Value,Value,Value,no,no,no
OpSing,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,PLUS,MINUS,TIMES,DIVIDE,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Operation,no,LPAREN OP Oper1 OpSing Oper2 RPAREN,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,OP Oper1 OpSing Oper2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Oper1,ID,Operation,no,no,no,no,no,no,no,no,no,Value,no,no,no,no,no,no,no,no,no,no,Operation,no,no,no,no,no,no,no,no,no,no,no,Value,Value,Value,Value,Value,no,no,no
Oper2,ID,Operation,no,no,no,no,no,no,no,no,no,Value,no,no,no,no,no,no,no,no,no,no,Operation,no,no,no,no,no,no,no,no,no,no,no,Value,Value,Value,Value,Value,no,no,no
Call,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,CALL ID LPAREN Parameter1 RPAREN,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Parameter1,ReturnValue Parameter2,no,e,no,no,no,no,no,no,no,no,ReturnValue Parameter2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,ReturnValue Parameter2,ReturnValue Parameter2,ReturnValue Parameter2,ReturnValue Parameter2,ReturnValue Parameter2,no,no,no
Parameter2,no,no,e,no,no,no,COMA ReturnValue Parameter2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
StructureControl,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,StructureControl1,StructureControl2,StructureControl3,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
StructureControl1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,IF LPAREN Comparasion RPAREN LLLAVE Coment Newline BodyMas RLLAVE Coment Newline,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
